Sr No,Date Created,Unique Code,Link Concated Coupon Code,Verified Status,Verified On
1,Fri Sep 26 2025 16:19:21 GMT+0530 (India Standard Time),"nop","https://qwkverify.basiq360.com/?qr=nop","Not Verified",""
2,Fri Sep 26 2025 16:19:21 GMT+0530 (India Standard Time),"klm","https://qwkverify.basiq360.com/?qr=klm","Not Verified",""
3,Fri Sep 26 2025 16:19:21 GMT+0530 (India Standard Time),"hij","https://qwkverify.basiq360.com/?qr=hij","Not Verified",""
4,Fri Sep 26 2025 16:19:21 GMT+0530 (India Standard Time),"efg","https://qwkverify.basiq360.com/?qr=efg","Not Verified",""
5,Fri Sep 26 2025 16:19:21 GMT+0530 (India Standard Time),"abc","https://qwkverify.basiq360.com/?qr=abc","Not Verified",""
6,Fri Sep 26 2025 16:19:21 GMT+0530 (India Standard Time),"789","https://qwkverify.basiq360.com/?qr=789","Not Verified",""
7,Fri Sep 26 2025 00:59:42 GMT+0530 (India Standard Time),"456","https://qwkverify.basiq360.com/?qr=456","Not Verified",""
8,Fri Sep 26 2025 00:59:42 GMT+0530 (India Standard Time),"123","https://qwkverify.basiq360.com/?qr=123","Verified",Fri Sep 26 2025 15:10:06 GMT+0530 (India Standard Time)
9,Thu Sep 25 2025 05:49:54 GMT+0530 (India Standard Time),"UCODE010","LNK010","Verified",Thu Sep 25 2025 05:49:54 GMT+0530 (India Standard Time)
10,Thu Sep 25 2025 05:49:54 GMT+0530 (India Standard Time),"UCODE009","LNK009","Not Verified",""
11,Thu Sep 25 2025 05:49:54 GMT+0530 (India Standard Time),"UCODE008","LNK008","Verified",Thu Sep 25 2025 05:49:54 GMT+0530 (India Standard Time)
12,Thu Sep 25 2025 05:49:54 GMT+0530 (India Standard Time),"UCODE007","LNK007","Not Verified",""
13,Thu Sep 25 2025 05:49:54 GMT+0530 (India Standard Time),"UCODE006","LNK006","Verified",Thu Sep 25 2025 05:49:54 GMT+0530 (India Standard Time)
14,Thu Sep 25 2025 05:49:54 GMT+0530 (India Standard Time),"UCODE005","LNK005","Verified",Thu Sep 25 2025 05:49:54 GMT+0530 (India Standard Time)
15,Thu Sep 25 2025 05:49:54 GMT+0530 (India Standard Time),"UCODE004","LNK004","Not Verified",""
16,Thu Sep 25 2025 05:49:54 GMT+0530 (India Standard Time),"UCODE003","LNK003","Verified",Thu Sep 25 2025 05:49:54 GMT+0530 (India Standard Time)
17,Thu Sep 25 2025 05:49:54 GMT+0530 (India Standard Time),"UCODE002","LNK002","Not Verified",""
18,Thu Sep 25 2025 05:49:54 GMT+0530 (India Standard Time),"UCODE001","LNK001","Verified",Thu Sep 25 2025 05:49:54 GMT+0530 (India Standard Time)
